n,Baseline Time (s),Optimized Time (s),Baseline Mem (MB),Optimized Mem (MB),Speedup (x)
200,0.15031970001291484,0.004105700005311519,1.253509521484375,0.9503517150878906,36.612441196007296
400,0.641151899995748,0.008210300002247095,4.933082580566406,3.697742462158203,78.0911659525559
600,1.5814844999986235,0.021947900007944554,11.390174865722656,8.276905059814453,72.0563014878949
800,2.236443399990094,0.026916499991784804,19.994422912597656,14.687122344970703,83.08819499833484
1000,3.0629335999983596,0.031531400003586896,31.400978088378906,22.928394317626953,97.13915651223643
